Question ID,question_text,options,correct_answer
75,"In clustering evaluation, what does higher precision mean:",A. More objects of a class in a cluster | B. More clusters containing a class | C. Larger fraction of a cluster is one class | D. More distinct clusters,Larger fraction of a cluster is one class
76,Which points cannot be directly density-reachable from any border point?,A. Another border point | B. A noise point | C. A core point | D. Any of the above,A noise point
77,What is the disadvantage of the DBSCAN algorithm?,A. Poor performance on high-dimensional data | B. Requires many scans of the dataset | C. Sensitive to the order of data points | D. Unable to detect clusters of varying density,Poor performance on high-dimensional data
78,"Suppose that for a data set: there are m points and K clusters, half the points and clusters are in “more dense” regions, half the points and clusters are in “less dense” regions, and the two regions are well-separated from each other. Which of the following should occur to minimize the squared error when finding K clusters:",A. Centroids should be equally distributed between more dense and less | B. More centroids should be allocated to the less dense region. | C. More centroids should be allocated to the denser region.,More centroids should be allocated to the denser region.
79,How is entropy used in cluster evaluation?,"A. Entropy can be used to measure the purity of a cluster, which is the proportion of data points in the cluster that belong to the same class. | B. Entropy can be used to measure the balance of a cluster, which is the distribution of data points from different classes within the cluster. | C. Entropy can be used to measure the separation between clusters, which is the difference in the entropy of different clusters. | D. All of the above","Entropy can be used to measure the purity of a cluster, which is the proportion of data points in the cluster that belong to the same class."
80,"Can K-means yield different clusterings with the same K in two runs? If yes, how to determine the best clustering?","A. No, this is mathematically impossible. | B. No, the same number of clusters K produces the same clustering. | C. Yes, SSE can be used to select the best cluster. | D. None of the above","Yes, SSE can be used to select the best cluster."
81,"If DBSCAN has a very large radius (epsilon) and a small MinPoints, what can happen?",A. All the data points will be clustered together | B. All the data points will be considered outliers | C. All the data points will be border points | D. None of the above,All the data points will be clustered together
82,"If DBSCAN has a very small radius (epsilon) and a very large MinPoints, what can happen?",A. All the data points will be clustered together | B. All the data points will be considered outliers | C. All the data points will be border points | D. None of the above,All the data points will be considered outliers
83,"If we use K-means with K=1, where will the centroid be located?",A. The centroid will be located at some cluster | B. The centroid will be the average of all points | C. The centroid will not converge and keep moving | D. None of the above,The centroid will be the average of all points
84,"If, in DBSCAN, the parameter MinPoints is set to two (2), then:",A. All data points will be either core points or outliers (no border points). | B. All data points will be border points. | C. No points can be core points. | D. None of the above.,All data points will be either core points or outliers (no border points).
85,"In a dataset with three clusters, where the density of the first cluster (C1) is smaller than the second cluster (C2), and the density of the second cluster is smaller than the third one. What cluster should be considered  When setting the radius (epsilon) of DBSCAN  ?",A. Only the first cluster (C1) with the lowest density is sufficient. | B. Only the second cluster (C2) is sufficient. | C. Only the third cluster (C3) with the highest density is sufficient. | D. None of the above.,Only the first cluster (C1) with the lowest density is sufficient.
86,"If the Silhouette coefficient of a data point x is zero, and all clusters are spherical with the same number of points, what does this imply?",A. This data point x is a centroid of one cluster. | B. This data point x is equidistant from two clusters. | C. This data point is x is assigned to the incorrect cluster. | D. None of the above.,This data point x is equidistant from two clusters.
87,"If the Silhouette coefficient of a data point x is negative, and all clusters are spherical with the same number of points, what does this imply?",A. This data point x is a centroid of one cluster. | B. This data point x is equidistant from two clusters. | C. This data point is x is assigned to the incorrect cluster. | D. None of the above,This data point is x is assigned to the incorrect cluster.
88,"If the cluster shapes are non-elliptical, which of the following algorithms may cluster the data incorrectly?",A. K-means | B. DBSCAN | C. Hierarchical clustering | D. None of the above,K-means
89,The disadvantage of complete linkage when used to calculate the distance between clusters is:,A. Sensitive to outliers | B. Unable to handle elliptical clusters | C. Tends to divide big clusters into small ones | D. None of the above,Tends to divide big clusters into small ones
90,"In supervised cluster evaluation, if all examples with a supervised class label are evenly split into two pure clusters, then:","A. The entropy of the two clusters is 1, the recall of each one is 0.5. | B. The entropy of the two clusters is 0, the recall of each one is 1. | C. The entropy of the two clusters is 0, the recall of each one is 0.5. | D. The entropy of the two clusters is 1, the recall of each one is 1.","The entropy of the two clusters is 0, the recall of each one is 0.5."
